priority,status,iam_prefix,service
P1,no_new_positive,networkmonitor,Amazon CloudWatch Network Synthetic Monitor
P1,blocked,oam,Amazon CloudWatch Observability Access Manager
P1,blocked,odb,AWS Service - Oracle Database@AWS
P1,no_new_positive,opsworks,AWS OpsWorks
P1,no_new_positive,opsworks-cm,AWS OpsWorks Configuration Management
P1,blocked,pca-connector-ad,AWS Private CA Connector for Active Directory
P1,no_new_positive,polly,Amazon Polly
P1,no_new_positive,private-networks,AWS service providing managed private networks
P1,blocked,proton,AWS Proton
P1,blocked,qapps,Amazon Q Business Q Apps
P1,blocked,qbusiness,Amazon Q Business
P1,blocked,quicksight,Amazon QuickSight
P1,blocked,rds-data,Amazon RDS Data API
P1,validated,redshift-serverless,Amazon Redshift Serverless
P1,no_new_positive,resource-explorer-2,AWS Resource Explorer
P1,validated,rum,AWS CloudWatch RUM
P1,blocked,sagemaker-data-science-assistant,Amazon SageMaker data science assistant
P1,blocked,security-ir,AWS Security Incident Response
P1,blocked,securityagent,AWS Security Agent
P1,blocked,securityhub,AWS Security Hub
P1,blocked,securitylake,Amazon Security Lake
P1,blocked,serverlessrepo,AWS Serverless Application Repository
P1,validated,servicecatalog,AWS Service Catalog
P1,validated,ses,Amazon Pinpoint Email Service / Amazon SES / Amazon Simple Email Service - Mail Manager / Amazon Simple Email Service v2
P1,blocked,shield,AWS Shield
P1,no_new_positive,sms-voice,AWS End User Messaging SMS and Voice V2 / Amazon Pinpoint SMS and Voice Service
P1,blocked,snowball,AWS Snowball
P1,blocked,social-messaging,AWS End User Messaging Social
P1,blocked,sso-oauth,AWS IAM Identity Center OIDC service
P1,blocked,support,AWS Support
P1,blocked,swf,Amazon Simple Workflow Service
P1,validated,synthetics,Amazon CloudWatch Synthetics
P1,no_new_positive,thinclient,Amazon WorkSpaces Thin Client
P1,blocked,timestream,Amazon Timestream
P1,no_new_positive,timestream-influxdb,Amazon Timestream InfluxDB
P1,no_new_positive,tnb,AWS Telco Network Builder
P1,validated,transcribe,Amazon Transcribe
P1,validated,transfer,AWS Transfer Family
P1,validated,translate,Amazon Translate
P1,no_new_positive,trustedadvisor,AWS Trusted Advisor
P1,blocked,verifiedpermissions,Amazon Verified Permissions
P1,blocked,vpc-lattice,Amazon VPC Lattice
P1,validated,wafv2,AWS WAF V2
P1,no_new_positive,wam,Amazon WorkSpaces Application Manager
P1,blocked,wickr,AWS Wickr
P1,blocked,workdocs,Amazon WorkDocs
P1,blocked,workmail,Amazon WorkMail
P1,blocked,workmailmessageflow,Amazon WorkMail Message Flow
P1,no_new_positive,workspaces-instances,AWS WorkSpaces Managed Instances
P1,blocked,xray,AWS X-Ray
P2,no_new_positive,a4b,Alexa for Business
P2,no_new_positive,action-recommendations,AWS Action Recommendations
P2,blocked,activate,AWS Activate
P2,blocked,agent-registry,AWS Agent Registry
P2,blocked,aidevops,AWS DevOps Agent Service
P2,blocked,aiops,Amazon AI Operations
P2,validated,appconfig,AWS AppConfig
P2,blocked,appfabric,AWS AppFabric
P2,validated,appflow,Amazon AppFlow
P2,blocked,appmesh,AWS App Mesh
P2,no_new_positive,appmesh-preview,AWS App Mesh Preview
P2,blocked,appstudio,AWS App Studio
P2,no_new_positive,arc-region-switch,Amazon ARC Region switch
P2,no_new_positive,autoscaling-plans,AWS Auto Scaling
P2,blocked,aws-external-anthropic,Claude Platform on AWS
P2,validated,aws-portal,AWS Billing Console
P2,no_new_positive,awsconnector,AWS Connector Service
P2,no_new_positive,bcm-dashboards,AWS Billing and Cost Management Dashboards
P2,no_new_positive,bcm-pricing-calculator,AWS Billing And Cost Management Pricing Calculator
P2,no_new_positive,bcm-recommended-actions,AWS Billing And Cost Management Recommended Actions
P2,blocked,bedrock-mantle,Amazon Bedrock Powered by AWS Mantle
P2,no_new_positive,bedrock-websearch,Amazon Bedrock Web Search
P2,no_new_positive,billingconductor,AWS Billing Conductor
P2,no_new_positive,braket,Amazon Braket
P2,no_new_positive,bugbust,AWS BugBust
P2,blocked,cases,Amazon Connect Cases
P2,validated,cassandra,Amazon Keyspaces (for Apache Cassandra)
P2,blocked,chatbot,AWS Chatbot
P2,blocked,cleanrooms,AWS Clean Rooms
P2,blocked,cleanrooms-ml,AWS Clean Rooms ML
P2,blocked,cloud9,AWS Cloud9
P2,validated,cloudfront-keyvaluestore,Amazon CloudFront KeyValueStore
P2,blocked,cloudhsm,AWS CloudHSM
P2,blocked,cloudsearch,Amazon CloudSearch
P2,no_new_positive,cloudshell,AWS CloudShell
P2,no_new_positive,codedeploy-commands-secure,AWS CodeDeploy secure host commands service
P2,no_new_positive,codeguru,Amazon CodeGuru
P2,blocked,codeguru-profiler,Amazon CodeGuru Profiler
P2,blocked,codeguru-reviewer,Amazon CodeGuru Reviewer
P2,no_new_positive,codestar,AWS CodeStar
P2,no_new_positive,codestar-connections,AWS CodeStar Connections
P2,blocked,codestar-notifications,AWS CodeStar Notifications
P2,no_new_positive,codewhisperer,Amazon CodeWhisperer
P2,blocked,cognito-sync,Amazon Cognito Sync
P2,no_new_positive,comprehend,Amazon Comprehend
P2,no_new_positive,comprehendmedical,Amazon Comprehend Medical
P2,blocked,connect-campaigns,Amazon Connect Outbound Campaigns
P2,no_new_positive,consoleapp,AWS Console Mobile App
P2,no_new_positive,consolidatedbilling,AWS Consolidated Billing
P2,no_new_positive,controlcatalog,AWS Control Catalog
P2,no_new_positive,cost-optimization-hub,AWS Cost Optimization Hub
P2,blocked,customer-verification,AWS Customer Verification Service
P2,validated,databrew,AWS Glue DataBrew
P2,validated,dax,Amazon DynamoDB Accelerator (DAX)
P2,validated,deadline,AWS Deadline Cloud
P2,validated,devicefarm,AWS Device Farm
P2,no_new_positive,devops-guru,Amazon DevOps Guru
P2,blocked,directconnect,AWS Direct Connect
P2,blocked,drs,AWS Elastic Disaster Recovery
P2,validated,dsql,Amazon Aurora DSQL
P2,validated,ebs,Amazon Elastic Block Store
P2,validated,ec2-instance-connect,Amazon EC2 Instance Connect
P2,no_new_positive,ecs-mcp,Amazon ECS MCP Service
P2,no_new_positive,eks-mcp,Amazon EKS MCP Server
P2,validated,elasticfilesystem,Amazon Elastic File System
P2,blocked,elastictranscoder,Amazon Elastic Transcoder
P2,blocked,elemental-activations,AWS Elemental Appliances and Software Activation Service
P2,blocked,elemental-appliances-software,AWS Elemental Appliances and Software
P2,validated,elemental-inference,AWS Elemental Inference
P2,blocked,elemental-support-cases,AWS Elemental Support Cases
P2,blocked,elemental-support-content,AWS Elemental Support Content
P2,validated,entityresolution,AWS Entity Resolution
P2,blocked,eventsbilltoaws,AWS reInvent event pass amount charge to customer AWS account
P2,no_new_positive,evidently,Amazon CloudWatch Evidently
P2,blocked,evs,Amazon Elastic VMware Service
P2,blocked,finops-agent,AWS FinOps Agent
P2,blocked,finspace,Amazon FinSpace
P2,blocked,finspace-api,Amazon FinSpace API
P2,validated,fis,AWS Fault Injection Service
P2,blocked,fms,AWS Firewall Manager
P2,blocked,forecast,Amazon Forecast
P2,validated,frauddetector,Amazon Fraud Detector
P2,blocked,freertos,Amazon FreeRTOS
P2,no_new_positive,freetier,AWS Free Tier
P2,validated,gamelift,Amazon GameLift Servers
P2,validated,gameliftstreams,Amazon GameLift Streams
P2,validated,geo,Amazon Location
P2,no_new_positive,geo-maps,Amazon Location Service Maps
P2,no_new_positive,geo-places,Amazon Location Service Places
P2,no_new_positive,geo-routes,Amazon Location Service Routes
P2,blocked,glacier,Amazon S3 Glacier
P2,validated,globalaccelerator,AWS Global Accelerator
P2,blocked,groundstation,AWS Ground Station
P2,blocked,groundtruthlabeling,Amazon GroundTruth Labeling
P2,blocked,health-agent,Amazon Connect Health
P2,validated,healthlake,AWS HealthLake
P2,no_new_positive,honeycode,Amazon Honeycode
P2,blocked,importexport,AWS Import Export Disk Service
P2,no_new_positive,inspector,Amazon Inspector
P2,no_new_positive,inspector-scan,Amazon InspectorScan
P2,no_new_positive,inspector2-telemetry,Amazon Inspector2 Telemetry Channel
P2,blocked,interconnect,AWS Interconnect
P2,no_new_positive,internetmonitor,Amazon CloudWatch Internet Monitor
P2,validated,invoicing,AWS Invoicing Service
P2,no_new_positive,iot-device-tester,AWS IoT Device Tester
P2,blocked,iotdeviceadvisor,AWS IoT Core Device Advisor
P2,validated,iotjobsdata,AWS IoT Jobs DataPlane
P2,validated,iotsitewise,AWS IoT SiteWise
P2,validated,iottwinmaker,AWS IoT TwinMaker
P2,no_new_positive,iq,AWS IQ
P2,no_new_positive,iq-permission,AWS IQ Permissions
P2,validated,ivs,Amazon Interactive Video Service
P2,validated,ivschat,Amazon Interactive Video Service Chat
P2,blocked,kafkaconnect,Amazon Managed Streaming for Kafka Connect
P2,blocked,kendra,Amazon Kendra
P2,no_new_positive,kendra-ranking,Amazon Kendra Intelligent Ranking
P2,validated,lakeformation,AWS Lake Formation
P2,blocked,launchwizard,AWS Launch Wizard
P2,no_new_positive,license-manager,AWS License Manager
P2,no_new_positive,license-manager-linux-subscriptions,AWS License Manager Linux Subscriptions Manager
P2,blocked,license-manager-user-subscriptions,AWS License Manager User Subscriptions
P2,blocked,lookoutequipment,Amazon Lookout for Equipment
P2,no_new_positive,lookoutmetrics,Amazon Lookout for Metrics
P2,no_new_positive,lookoutvision,Amazon Lookout for Vision
P2,validated,m2,AWS Mainframe Modernization Service
P2,no_new_positive,managedblockchain,Amazon Managed Blockchain
P2,no_new_positive,managedblockchain-query,Amazon Managed Blockchain Query
P2,no_new_positive,mapcredits,AWS Migration Acceleration Program Credits
P2,blocked,mechanicalturk,Amazon Mechanical Turk
P2,validated,mediaconnect,AWS Elemental MediaConnect
P2,no_new_positive,mediaimport,AmazonMediaImport
P2,validated,medialive,AWS Elemental MediaLive
P2,no_new_positive,mediapackage-vod,AWS Elemental MediaPackage VOD
P2,validated,mediapackagev2,AWS Elemental MediaPackage V2
P2,validated,medical-imaging,AWS HealthImaging
P2,no_new_positive,mgh,AWS Migration Hub
P2,blocked,migrationhub-orchestrator,AWS Migration Hub Orchestrator
P2,no_new_positive,migrationhub-strategy,AWS Migration Hub Strategy Recommendations
P2,blocked,mobiletargeting,Amazon Pinpoint
P2,blocked,monitron,Amazon Monitron
P2,no_new_positive,mpa,Multi-party approval
P2,validated,mq,Amazon MQ
P2,no_new_positive,nimble,Amazon Nimble Studio
P2,validated,notifications,AWS User Notifications
P2,no_new_positive,notifications-contacts,AWS User Notifications Contacts
P2,no_new_positive,nova-act,Amazon Nova Act
P2,no_new_positive,observabilityadmin,Amazon CloudWatch Observability Admin Service
P2,validated,omics,AWS HealthOmics
P2,blocked,one,Amazon One Enterprise
P2,no_new_positive,osis,Amazon OpenSearch Ingestion
P2,blocked,outposts,AWS Outposts
P2,blocked,panorama,AWS Panorama
P2,blocked,partnercentral,AWS Partner Central
P2,no_new_positive,partnercentral-account-management,AWS Partner central account management
P2,blocked,payment-cryptography,AWS Payment Cryptography
P2,blocked,payments,AWS Payments
P2,blocked,pca-connector-scep,AWS Private CA Connector for SCEP
P2,no_new_positive,pcs,AWS Parallel Computing Service
P2,no_new_positive,personalize,Amazon Personalize
P2,no_new_positive,pi,AWS Performance Insights
P2,no_new_positive,pricing,AWS Price List
P2,no_new_positive,pricingplanmanager,AWS PricingPlanManager Service
P2,validated,profile,Amazon Connect Customer Profiles
P2,no_new_positive,purchase-orders,AWS Purchase Orders Console
P2,no_new_positive,q,Amazon Q
P2,no_new_positive,qdeveloper,Amazon Q Developer
P2,no_new_positive,qldb,Amazon QLDB
P2,no_new_positive,rbin,AWS Recycle Bin
P2,no_new_positive,refactor-spaces,AWS Migration Hub Refactor Spaces
P2,no_new_positive,rekognition,Amazon Rekognition
P2,no_new_positive,repostspace,AWS rePost Private
P2,no_new_positive,researchstudio,Amazon Bio Discovery
P2,no_new_positive,resiliencehub,AWS Resilience Hub
P2,no_new_positive,resource-explorer,Tag Editor
P2,no_new_positive,rhelkb,Amazon RHEL Knowledgebase Portal
P2,no_new_positive,robomaker,AWS RoboMaker
P2,no_new_positive,route53-recovery-cluster,Amazon Route 53 Recovery Cluster
P2,no_new_positive,route53-recovery-control-config,Amazon Route 53 Recovery Controls
P2,no_new_positive,route53-recovery-readiness,Amazon Route 53 Recovery Readiness
P2,no_new_positive,route53globalresolver,AWS Route53 Global Resolver
P2,no_new_positive,route53profiles,Amazon Route 53 Profiles
P2,no_new_positive,route53resolver,Amazon Route 53 Resolver
P2,no_new_positive,rtbfabric,AWS RTB Fabric
P2,no_new_positive,s3-outposts,Amazon S3 on Outposts
P2,validated,s3express,Amazon S3 Express
P2,no_new_positive,s3files,Amazon S3 Files
P2,validated,s3tables,Amazon S3 Tables
P2,validated,s3vectors,Amazon S3 Vectors
P2,no_new_positive,sagemaker-mlflow,Amazon SageMaker with MLflow
P2,no_new_positive,sagemaker-unified-studio-mcp,Amazon SageMaker Unified Studio MCP
P2,no_new_positive,savingsplans,AWS Savings Plans
P2,no_new_positive,schemas,Amazon EventBridge Schemas
P2,no_new_positive,scn,AWS Supply Chain
P2,validated,sdb,Amazon SimpleDB
P2,validated,servicediscovery,AWS Cloud Map
P2,no_new_positive,serviceextract,AWS Microservice Extractor for .NET
P2,no_new_positive,servicequotas,Service Quotas
P2,no_new_positive,signin,AWS Signin
P2,no_new_positive,simspaceweaver,AWS SimSpace Weaver
P2,no_new_positive,sms,AWS Server Migration Service
P2,no_new_positive,snow-device-management,AWS Snow Device Management
P2,no_new_positive,sqlworkbench,AWS SQL Workbench
P2,no_new_positive,ssm-contacts,AWS Systems Manager Incident Manager Contacts
P2,no_new_positive,ssm-guiconnect,AWS Systems Manager GUI Connect
P2,no_new_positive,ssm-incidents,AWS Systems Manager Incident Manager
P2,no_new_positive,ssm-quicksetup,AWS Systems Manager Quick Setup
P2,no_new_positive,ssm-sap,AWS Systems Manager for SAP
P2,no_new_positive,support-console,AWS Support Console
P2,no_new_positive,supportapp,AWS Support App in Slack
P2,no_new_positive,supportauthz,AWS Support Authorization
P2,no_new_positive,supportplans,AWS Support Plans
P2,no_new_positive,sustainability,AWS Sustainability
P2,validated,tax,AWS Tax Settings
P2,validated,textract,Amazon Textract
P2,no_new_positive,tiros,AWS Tiros
P2,no_new_positive,transform,AWS Transform
P2,no_new_positive,transform-custom,AWS Transform custom
P2,no_new_positive,ts,AWS Diagnostic tools
P2,no_new_positive,user-subscriptions,AWS User Subscriptions
P2,no_new_positive,uxc,AWS User Experience Customization
P2,no_new_positive,vendor-insights,AWS Marketplace Vendor Insights
P2,no_new_positive,verified-access,AWS Verified Access
P2,no_new_positive,voiceid,Amazon Connect Voice ID
P2,validated,vpc-lattice-svcs,Amazon VPC Lattice Services
P2,no_new_positive,vpce,AWS PrivateLink
P2,no_new_positive,waf,AWS WAF
P2,no_new_positive,waf-regional,AWS WAF Regional
P2,no_new_positive,wellarchitected,AWS Well-Architected Tool
P2,validated,wisdom,Amazon Q in Connect
P2,no_new_positive,worklink,Amazon WorkLink
